CODCP,facilidad_mas_cercana_car,duracion_min_car,distancia_km_car,facilidad_mas_cercana_foot,duracion_min_foot,distancia_km_foot,facilidad_mas_cercana_bike,duracion_min_bike,distancia_km_bike,mismo_hospital_car_foot,ratio_foot_car,ratio_bike_car
110762,3792,39.37,30.6315,3792.0,368.5183333333333,30.6315,3792.0,153.00166666666667,30.6315,True,9.360384387435442,3.886250105833545
110766,3494,100.77333333333333,72.4513,11775.0,674.315,56.0406,11775.0,360.565,56.3733,False,6.691403148981213,3.577980285789892
110807,3494,293.22666666666663,220.20479999999998,3494.0,3172.3533333333335,263.744,3494.0,1485.535,283.2756,True,10.818775009094217,5.066166105856676
110878,37376,128.24166666666667,112.0128,11775.0,2406.336666666667,200.056,11775.0,1015.6483333333333,200.919,False,18.764078237702257,7.919799857040743
110886,3655,25.551666666666666,24.5443,3655.0,192.46666666666667,16.0035,3655.0,69.57,16.0035,True,7.532450590307221,2.722718674580914
110910,3655,14.141666666666667,8.6556,3655.0,110.115,9.149899999999999,3655.0,38.93833333333334,9.233,True,7.78656452563347,2.75344725987036
110915,3727,97.31166666666667,112.7145,3494.0,2250.6033333333335,187.0832,3494.0,752.0383333333334,187.2957,False,23.12778529467176,7.728141538356142
110944,4370,28.858333333333334,28.752599999999997,4370.0,370.505,30.7787,4370.0,185.405,33.8127,True,12.838752526710943,6.424660698816055
110970,3754,88.53,95.0206,3792.0,833.7766666666666,69.2963,3655.0,314.84833333333336,73.7776,False,9.41801272638277,3.5564027260062505
110983,3494,51.68,38.4786,3494.0,445.77833333333336,37.068599999999996,3494.0,161.39833333333334,40.171099999999996,True,8.625741744066048,3.1230327657378743
110995,30057,41.973333333333336,46.264300000000006,30057.0,550.0033333333333,45.7331,30057.0,263.6666666666667,46.8429,True,13.103637229987292,6.281766200762389
111022,3792,125.85,129.7458,3792.0,1531.98,127.3762,3792.0,591.8083333333333,131.8678,True,12.173063170441003,4.702489736458747
111031,4370,29.366666666666667,23.072400000000002,4370.0,324.815,26.986099999999997,4370.0,181.54833333333332,31.5876,True,11.060669693530079,6.182122587968217
111036,3494,44.59666666666667,21.614,3494.0,245.47,20.3965,3494.0,92.325,20.3965,True,5.504223036101353,2.0702219896853276
111052,3792,7.995,8.1907,3792.0,98.56333333333333,8.1907,3792.0,33.041666666666664,8.1907,True,12.328121742755888,4.132791327913279
111064,3494,19.91,18.820700000000002,3494.0,484.38,40.2602,3494.0,317.38,40.8218,True,24.32847815168257,15.940733299849322
111082,3494,271.515,211.4486,3494.0,3065.05,254.8142,3494.0,1449.47,274.34590000000003,True,11.28869491556636,5.3384527558330115
111114,3727,53.013333333333335,74.6258,3494.0,2624.56,218.22029999999998,3494.0,921.5949999999999,218.88060000000002,False,49.50754527162977,17.384211519114686
111173,3792,16.761666666666667,15.588700000000001,3792.0,187.57666666666668,15.588700000000001,3792.0,74.69166666666666,15.588700000000001,True,11.190812369493885,4.45610022869643
111178,4370,56.406666666666666,58.630199999999995,4370.0,638.7583333333333,53.1156,30057.0,226.01166666666668,56.154900000000005,True,11.3241638104243,4.0068254343458225
111182,3494,161.32999999999998,97.08619999999999,11775.0,1197.1816666666666,96.7348,11775.0,669.6866666666666,110.9482,False,7.420700840926465,4.151036178433439
111197,3494,151.13666666666668,123.7428,11775.0,1349.4366666666667,112.1917,11775.0,615.1650000000001,113.03880000000001,False,8.9285856068459,4.070256500738846
111224,3523,228.05333333333334,220.6124,3523.0,2506.55,208.416,3523.0,837.4449999999999,208.4244,True,10.991069340505145,3.6721454045837225
