CODCP,facilidad_mas_cercana,t_min,distancia_km
662768,3494,153.815,126.841
662771,3494,133.57333333333332,113.43639999999999
662782,3494,159.02833333333334,130.6081
662786,3494,181.41333333333333,152.50220000000002
662789,3494,167.83333333333334,139.0334
662790,3494,166.71666666666667,137.4518
662791,3494,167.78333333333333,138.961
662800,3494,117.44833333333332,105.50439999999999
662801,3494,118.94,106.1246
662802,3494,120.08833333333334,106.6014
662806,3494,111.56333333333333,103.05930000000001
662813,3494,104.98666666666666,72.6551
662826,3494,74.955,71.9723
662832,3494,84.87833333333333,82.74560000000001
662841,3727,117.16333333333334,131.6414
662847,3494,89.17166666666667,97.7654
662849,3727,85.31333333333333,98.9994
662862,3494,154.75,127.2439
662864,3494,144.77666666666667,127.0917
662865,3494,138.4633333333333,118.4298
662870,3494,110.19833333333332,102.48610000000001
662872,3494,178.56166666666667,145.0195
662876,3754,46.123333333333335,63.870400000000004
662884,3655,144.89833333333334,135.3591
662888,3655,328.2433333333333,213.0701
662893,3655,309.8833333333333,205.462
662904,3655,211.6,168.7618
662911,3655,31.928333333333335,26.7875
662913,3655,36.68833333333334,28.0645
662916,3655,33.28666666666667,28.095200000000002
662923,3655,22.326666666666664,22.2248
662935,3727,27.378333333333334,36.593
662939,3727,28.113333333333333,39.675
662943,3727,38.555,44.9551
662944,3727,22.618333333333332,31.908
662945,3727,19.221666666666668,27.0947
662949,3727,19.01833333333333,26.8019
662951,3727,29.983333333333334,35.0402
662953,3727,4.765,1.9703
662954,3727,4.568333333333333,6.4072
662959,3727,4.833333333333333,6.7219
662964,3727,5.698333333333333,8.0542
662972,3727,17.333333333333332,14.894
662977,3727,128.80166666666668,133.7306
662981,3727,113.57333333333332,123.5866
662984,3727,97.29333333333334,87.023
662985,3727,50.486666666666665,62.2696
662992,3727,69.24666666666667,92.663
662996,3727,47.79333333333333,59.3618
663012,3523,30.828333333333333,42.5403
663013,3523,33.08166666666667,43.3685
663016,3523,56.92333333333333,50.9512
663023,3523,40.568333333333335,44.1601
663024,3523,37.56166666666666,25.380200000000002
663040,3523,38.913333333333334,33.8917
663041,3523,31.05666666666667,28.6647
663042,3523,40.845,34.9558
663046,3523,63.60666666666667,61.6066
663049,3727,75.70166666666667,104.58460000000001
663050,3727,95.23333333333333,100.82
663065,3727,115.24166666666666,110.2718
663069,3727,123.20166666666667,120.4807
663074,3727,41.818333333333335,59.0396
663075,3727,95.85166666666667,102.2752
663076,3727,41.809999999999995,59.028400000000005
663078,3727,39.718333333333334,56.0717
663080,3727,132.05833333333334,117.21539999999999
663081,3727,120.025,127.87910000000001
663083,3727,116.77333333333333,125.7368
663084,3727,116.75166666666668,125.72210000000001
663096,3494,235.675,185.53979999999999
663099,3494,273.28499999999997,203.0046
663103,3494,225.26666666666668,177.5612
663113,3727,273.93833333333333,295.4544
663115,3727,272.655,294.9229
663122,3727,265.0683333333333,289.37559999999996
663133,3727,247.2133333333333,270.8247
663141,3727,259.07166666666666,281.226
663147,3727,286.695,303.38190000000003
663149,3727,296.005,306.3583
663152,3727,275.26,273.3658
663157,3727,256.7133333333333,280.9307
663160,3494,206.815,172.79979999999998
663161,3494,207.14,171.70329999999998
663162,3494,193.86333333333332,162.45770000000002
663172,3727,289.7083333333333,282.2524
663187,3494,282.9533333333333,218.7509
663204,3727,214.38666666666668,213.0967
663208,3727,182.95833333333334,193.5385
663211,3727,217.94333333333333,216.754
663214,3727,53.47166666666667,74.05189999999999
663215,3727,173.85333333333335,187.497
663216,3727,145.20333333333335,160.946
663220,3727,124.24499999999999,130.5782
663226,3727,175.22166666666666,188.411
663227,3727,245.965,252.6234
663230,3727,246.0883333333333,252.7211
663233,3494,280.43666666666667,225.4474
663247,3727,94.975,99.0465
663253,3727,114.26666666666667,111.8893
663260,3727,81.28333333333333,58.1813
663262,3727,73.74666666666667,55.0549
663265,3727,65.13833333333334,60.7963
663267,3727,67.06,52.2689
663270,3727,65.93333333333334,51.8018
663275,3727,60.25833333333333,49.4456
663279,3727,88.73833333333333,61.2772
663281,3727,83.63333333333334,59.1537
663284,3727,36.23166666666667,39.4801
663294,3727,34.01,38.2535
663299,3727,30.951666666666664,36.014900000000004
663302,3727,25.153333333333332,35.4605
663308,3727,18.301666666666666,25.7908
663316,3727,21.933333333333334,30.911
663331,3727,220.86833333333334,169.8281
663332,3727,278.73499999999996,201.8894
663350,3727,251.00666666666666,257.1314
663354,3727,213.70333333333335,227.5099
663355,3727,222.64666666666665,228.2775
663368,3727,158.39333333333335,127.22330000000001
663370,3727,196.25666666666666,143.3172
663373,3727,203.935,148.4119
663377,3727,225.80666666666667,162.1934
663389,3727,86.86,89.1876
663403,3727,114.905,104.8394
663405,3727,112.405,103.8357
663409,3727,132.57,112.2152
663416,3727,158.90833333333333,143.2076
663422,3727,71.70666666666666,78.86930000000001
663423,3727,72.195,79.4648
663426,3727,59.945,70.9561
663427,3727,70.80833333333334,78.37780000000001
663432,3727,66.05833333333334,73.4907
663441,3727,108.22,90.9708
663442,3727,97.43833333333333,86.4628
663445,3727,92.08666666666666,84.2983
663457,3727,117.615,77.5818
663461,3523,82.67,62.616699999999994
663465,3523,216.66833333333335,163.67020000000002
663466,3523,210.69833333333332,161.8202
663467,3523,210.665,161.7657
663480,3727,94.75666666666666,107.2923
663483,3727,91.02833333333334,103.3288
663485,3727,90.60666666666665,102.8806
663488,3727,123.5,128.1602
663495,3727,83.35166666666667,95.6364
663496,3727,83.37166666666667,95.6572
663506,3727,65.35333333333332,76.4418
663509,3727,62.781666666666666,74.6025
663511,3727,93.58500000000001,102.1447
663514,3523,1.3366666666666667,1.6129
663517,3523,110.61333333333333,57.257
663520,3727,69.71166666666666,73.42660000000001
663549,3494,82.35333333333332,90.3863
663556,3494,33.3,46.677800000000005
663565,3494,32.645,20.2975
663581,3494,36.54,23.8443
663583,3494,46.495,27.9175
663591,3494,95.14333333333335,61.5223
663605,3494,46.288333333333334,42.0994
663607,3494,47.016666666666666,42.886300000000006
663613,3494,47.39666666666667,43.2981
663625,3494,67.87666666666667,73.6777
663628,3494,44.27166666666667,57.9501
663637,3494,67.16666666666667,76.7552
663651,37376,227.77,182.2371
663652,37376,219.66666666666666,178.8761
663658,37376,205.12666666666667,172.8648
663670,3494,150.17000000000002,124.29939999999999
663673,37376,153.00833333333333,140.2009
663681,3494,90.00833333333334,71.4073
663786,3523,49.04333333333333,49.957
663791,3523,58.2,35.4646
663796,3523,55.68,34.4171
663797,3523,36.36333333333334,26.3857
663803,3523,11.123333333333333,12.5933
663804,3523,24.118333333333332,12.133700000000001
663807,3523,28.42,17.132099999999998
663825,3523,149.48,130.628
663832,3523,94.14166666666667,98.741
663857,3523,49.205000000000005,65.86110000000001
663866,3523,168.085,154.4871
663879,3523,82.86833333333334,63.155800000000006
663890,3523,64.79833333333333,49.8091
663900,3523,98.71833333333333,73.6717
663906,3523,80.78166666666667,61.7528
663910,3727,97.025,101.9262
663911,3523,116.28500000000001,81.9731
663919,3523,103.525,76.842
663923,3523,84.06,63.951
663924,3523,87.67166666666667,66.3576
663929,3523,152.88666666666668,170.9819
663947,3523,182.34,197.5179
663958,3523,70.89,90.6273
663959,3523,69.28666666666666,89.7338
663960,3494,143.325,146.9915
663963,3494,118.52,120.9452
663972,3727,119.945,133.82989999999998
663991,3494,10.928333333333335,15.0773
663999,3494,11.036666666666667,9.0175
664002,3494,98.20833333333333,96.36110000000001
664010,3494,86.0,94.0914
664025,3494,88.98833333333333,97.5662
664038,3494,81.51666666666667,65.76469999999999
664083,3494,95.35333333333332,86.4498
664088,3494,115.35833333333333,99.34960000000001
664092,3494,68.25333333333333,37.095
664094,3494,60.830000000000005,33.992599999999996
664099,3494,58.32,46.2859
664103,3494,67.10333333333332,42.2451
664109,3494,85.58333333333333,93.6495
664110,3494,100.56666666666666,103.7119
664114,3494,102.60166666666667,105.0665
664115,3494,102.05666666666666,104.70660000000001
664117,3494,104.18166666666666,106.1135
664132,3727,143.2,119.46560000000001
664134,3727,135.56833333333333,116.296
664138,3727,135.56833333333333,116.296
664140,3727,158.82999999999998,132.25779999999997
664147,3727,140.77333333333334,118.45939999999999
664151,3727,135.755,116.374
664154,3727,156.41333333333333,131.2523
664155,3727,135.6,116.3094
664159,3727,156.87333333333333,131.44310000000002
664164,3727,128.10166666666666,113.1899
664168,3727,158.82999999999998,132.25779999999997
664169,3727,158.82999999999998,132.25779999999997
664173,3727,158.82999999999998,132.25779999999997
664176,3727,158.82999999999998,132.25779999999997
664179,3727,158.82999999999998,132.25779999999997
664191,3727,115.565,112.7529
664198,3727,156.41333333333333,131.2523
664202,3727,158.82999999999998,132.25779999999997
664205,3727,157.82999999999998,131.842
664210,3727,158.82999999999998,132.25779999999997
664212,3727,158.82999999999998,132.25779999999997
664214,3727,158.82999999999998,132.25779999999997
664221,3727,156.54166666666666,131.3198
664223,3727,161.35333333333335,133.3236
664227,3727,183.35833333333332,142.5655
664228,3727,183.155,142.4292
664230,3727,195.29333333333335,147.4247
664241,3727,192.265,146.1637
664242,3727,178.03,140.25060000000002
664244,3727,191.42833333333334,147.9352
664245,3727,160.88,133.1267
664248,3523,18.95,25.7494
664254,3727,261.91833333333335,286.5017
664259,3523,83.91333333333334,63.7722
664273,3523,185.61,200.5005
664278,3523,99.72166666666666,102.45389999999999
664279,3523,97.19,98.719
664284,3523,144.03333333333333,103.5031
664288,3727,234.17000000000002,182.568
664304,6502,12.125,12.267
664307,6919,12.370000000000001,7.603800000000001
664311,6502,24.955,16.1033
664314,6502,3.5050000000000003,3.2386999999999997
664320,6502,45.71,39.160599999999995
664326,6502,152.42666666666668,77.3143
664327,6502,51.55833333333333,41.8157
664334,6502,89.81333333333333,65.5945
664340,6502,24.755,25.8785
664342,6502,23.291666666666668,24.3005
664345,6502,30.323333333333334,25.7883
664348,6502,17.158333333333335,17.6855
664349,6502,16.793333333333333,17.291900000000002
664351,6502,37.77166666666667,34.9778
664352,6502,15.588333333333333,14.2626
664362,6502,52.77833333333333,45.879400000000004
664365,6502,41.593333333333334,40.0926
664366,6502,50.218333333333334,45.7248
664372,6502,30.275,31.7125
664382,6359,83.75,76.8412
664387,6352,27.203333333333333,17.0167
664388,6352,17.290000000000003,10.714799999999999
664389,6352,36.38333333333333,38.7525
664394,6919,27.615000000000002,20.608400000000003
664396,6919,24.575,19.346700000000002
664400,6919,39.99666666666667,52.8145
664407,6919,102.67666666666668,68.3923
664411,6919,40.28666666666666,34.5238
664414,6919,14.996666666666666,17.27
664415,6919,87.99666666666667,48.4471
664418,6502,29.913333333333334,39.9576
664419,6502,31.3,41.454800000000006
664422,8269,64.88166666666667,51.3008
664430,6502,16.611666666666668,22.430799999999998
